data,regiao,produto,valor
01/06/2026,Sudeste,Notebook ABC,4500.00
01/06/2026,Sudeste,Smartphone XYZ,3200.00
01/06/2026,Sul,Fone Bluetooth,299.90
02/06/2026,Sudeste,Notebook ABC,4500.00
02/06/2026,Nordeste,Tablet Pro,1800.00
02/06/2026,Sul,Smartphone XYZ,3200.00
02/06/2026,Centro-Oeste,Mouse Wireless,149.90
03/06/2026,Sudeste,Notebook ABC,4500.00
03/06/2026,Nordeste,Fone Bluetooth,299.90
03/06/2026,Sul,Tablet Pro,1800.00
03/06/2026,Norte,Smartphone XYZ,3200.00
04/06/2026,Sudeste,Notebook ABC,4500.00
04/06/2026,Sudeste,Smartphone XYZ,3200.00
04/06/2026,Sul,Fone Bluetooth,299.90
04/06/2026,Nordeste,Tablet Pro,1800.00
05/06/2026,Centro-Oeste,Notebook ABC,4500.00
05/06/2026,Sudeste,Smartphone XYZ,3200.00
05/06/2026,Sul,Tablet Pro,1800.00
05/06/2026,Nordeste,Fone Bluetooth,299.90
06/06/2026,Sudeste,Notebook ABC,4500.00
06/06/2026,Sul,Smartphone XYZ,3200.00
06/06/2026,Nordeste,Tablet Pro,1800.00
06/06/2026,Centro-Oeste,Fone Bluetooth,299.90
06/06/2026,Norte,Mouse Wireless,149.90
07/06/2026,Sudeste,Notebook ABC,4500.00
07/06/2026,Sudeste,Smartphone XYZ,3200.00
07/06/2026,Sul,Fone Bluetooth,299.90
08/06/2026,Nordeste,Notebook ABC,4500.00
08/06/2026,Sudeste,Smartphone XYZ,3200.00
08/06/2026,Centro-Oeste,Tablet Pro,1800.00
08/06/2026,Sul,Mouse Wireless,149.90
08/06/2026,Norte,Fone Bluetooth,299.90
09/06/2026,Sudeste,Notebook ABC,4500.00
09/06/2026,Sul,Smartphone XYZ,3200.00
09/06/2026,Nordeste,Tablet Pro,1800.00
10/06/2026,Sudeste,Notebook ABC,4500.00
10/06/2026,Sudeste,Smartphone XYZ,3200.00
10/06/2026,Sul,Fone Bluetooth,299.90
10/06/2026,Centro-Oeste,Tablet Pro,1800.00
10/06/2026,Nordeste,Mouse Wireless,149.90
11/06/2026,Sudeste,Notebook ABC,4500.00
11/06/2026,Norte,Smartphone XYZ,3200.00
11/06/2026,Sul,Tablet Pro,1800.00
11/06/2026,Nordeste,Fone Bluetooth,299.90
12/06/2026,Sudeste,Notebook ABC,4500.00
12/06/2026,Sudeste,Smartphone XYZ,3200.00
12/06/2026,Sul,Fone Bluetooth,299.90
12/06/2026,Nordeste,Tablet Pro,1800.00
12/06/2026,Centro-Oeste,Mouse Wireless,149.90
13/06/2026,Sudeste,Notebook ABC,4500.00
13/06/2026,Sul,Smartphone XYZ,3200.00
13/06/2026,Nordeste,Tablet Pro,1800.00
14/06/2026,Sudeste,Notebook ABC,4500.00
14/06/2026,Sudeste,Smartphone XYZ,3200.00
14/06/2026,Sul,Fone Bluetooth,299.90
14/06/2026,Nordeste,Tablet Pro,1800.00
14/06/2026,Norte,Mouse Wireless,149.90
15/06/2026,Sudeste,Notebook ABC,4500.00
15/06/2026,Centro-Oeste,Smartphone XYZ,3200.00
15/06/2026,Sul,Fone Bluetooth,299.90
15/06/2026,Nordeste,Tablet Pro,1800.00
16/06/2026,Sudeste,Notebook ABC,4500.00
16/06/2026,Sudeste,Smartphone XYZ,3200.00
16/06/2026,Sul,Tablet Pro,1800.00
16/06/2026,Nordeste,Fone Bluetooth,299.90
16/06/2026,Centro-Oeste,Mouse Wireless,149.90
17/06/2026,Sudeste,Notebook ABC,4500.00
17/06/2026,Norte,Smartphone XYZ,3200.00
17/06/2026,Sul,Fone Bluetooth,299.90
17/06/2026,Nordeste,Tablet Pro,1800.00
18/06/2026,Sudeste,Notebook ABC,4500.00
18/06/2026,Sudeste,Smartphone XYZ,3200.00
18/06/2026,Sul,Fone Bluetooth,299.90
18/06/2026,Nordeste,Tablet Pro,1800.00
19/06/2026,Sudeste,Notebook ABC,4500.00
19/06/2026,Centro-Oeste,Smartphone XYZ,3200.00
19/06/2026,Sul,Tablet Pro,1800.00
19/06/2026,Nordeste,Fone Bluetooth,299.90
19/06/2026,Norte,Mouse Wireless,149.90
20/06/2026,Sudeste,Notebook ABC,4500.00
20/06/2026,Sudeste,Smartphone XYZ,3200.00
